,processed_problem,processed_action
3110,2 3 induction pipes leaking on l/h engine,removed replaced intake gaskets
3111,engine running rough 2 cylinder exhaust gas temperature  low,ran a/c operational safety section check good borescoped cylinder no defects f
3112,engine problem,drove to site w/ trailer loaded helicopter returned
3113,engine started running rough back firing both power reduc,began performing lycoming
3114,engine started running rough back firing both power reduc,completed lycoming found 1 4 exhaust guides
3115,engine started running rough back firing both power reduc,completed reassembly ran up a/c operational safety section check good
3116,rough engine w/ oil leak,for billing purposes only
3117,rough engine w/ oil leak,installed o/hed oil cooler reinstalled exhau
3118,rough engine w/ oil leak,performed operational leak check adjust idle mixture n
3119,rough engine w/ oil leak,received customer supplied engine cleaned inspected engine
3120,rough engine w/ oil leak,removed defective engine from a/c installed factory o/
3121,cylinder 3 4 intake gaskets leaking,removed replaced intake gaskets
3122,near idle engine was a little rough at stop for run up right pattern,started engine warmed to operating temps engine idle
3123,forward engine baffle seal above vacuum pump torn,part on order
3124,forward engine plugs safety wire loose chafing through,resafetied plugs
3125,forward engine baffle seal above vacuum pump torn,removed replaced forward engine baffle seal above vacuum pum
3126,screw missing at 3 cylinder baffle,found screw on lower baffle replaced screw
3127,2 3 rocker cover gaskets leaking l/h engine,removed replaced rocker cover gaskets
3128,baffle seal above air filter box chafed,applied silicone to area where needed no damage noted
3129,2 intake tube gasket leaking,removed replaced intake gasket
3130,2 intake gasket leaking,removed replaced 2 intake gasket
3131,2 3 cylinder rocker covers leaking,removed replaced rocker cover gaskets
3132,2 cylinder head temperature fitting needs to be replaced,replaced cylinder head temperature fitting
3133,4 intake leaking,replaced gasket
3134,forward baffle seals on engine wear marks against air filter,rtved areas
3135,2 cylinder intake gasket leaking,removed replaced gasket
3136,3 4 1 intakes leaking,removed replaced gaskets
3137,3 rocker drain line chafing,installed chafe wrap onto rocker drain line no damage
3138,accidentally oversped engine before pulling throttle back e,evaluated data on fdm card found engine overspeed to
3139,4 intake leaking,removed replaced intake gasket
3140,engine baffle plugs worn,removed replaced baffle plugs
3141,1 2 3 rocker covers leaking,removed replaced rocker cover gaskets
3142,3 intake gasket leaking,removed replaced gasket
3143,lower intercylinder baffle spring on r/h side of engine bro,removed replaced baffle spring
3144,intakes 1 2 leaking,removed replaced intake gaskets
3145,cylinder 1 4 intake gaskets leaking,installed new 1 4 intake gaskets
3146,cylinder 2 intake gasket leaking,removed replaced intake gasket
3147,cylinder 1 rocker cover gasket leaking,removed replaced rocker cover gasket
3148,1 rocker drain line loose,tightened drain line
3149,2 rocker cover leaking,removed replaced 2 rocker cover gasket
3150,r/h aft engine baffle mounting bracket loose,reattached mounting bracket to engine baffle
3151,bolt missing on 3 cylinder side baffle,installed bolt where needed
3152,3 cylinder rocker cover gasket leaking,removed replaced rocker cover gasket
3153,2 intake tube gasket leaking,removed replaced intake gasket
3154,3 4 intake gaskets leaking,replaced both gaskets
3155,2 cylinder rocker drain line leaking at sump,tightened clamps on rocker drain line
3156,egt/cht wire bundle mounting screw ignition lead/oil cooler mou,tightened hardwared on oil cooler
3157,baffle screw has oversized washer which chafing 3 cylinder r,removed washer installed correct hardware to prevent
3158,oil leak at crankcase bolts used to mount fuel flow transdu,removed bolts cleaned bolt holes resealed bolts tor
3159,2 intake gasket leaking,removed replaced intake gasket
3160,2 rocker cover gasket leaking,removed replaced rocker cover gasket
3161,2 4 intakes leaking,removed replaced intake gaskets
3162,3 4 rocker covers leak,removed replaced rocker cover gaskets
3163,1 rocker box cover gasket leaking,installed new rocker box cover gasket
3164,propeller flange run out check requested,performed test run out below 001
3165,left 1 intake leaking,replaced gasket
3166,sheared off rivets on baffle bracket behind 3 cylinder,after baffle installation reinstalled oil filler tube
3167,sheared off rivets on baffle bracket behind 3 cylinder,removed baffle installed new rivets reinstalled baff
3168,lower forward engine seal worn in area above engine inlet,installed rtv in worn areas
3169,3 4 cylinder were removed by off site maintenance,4 piston pin bore damaged received new piston measur
3170,3 4 cylinder were removed by off site maintenance,fitted new exhaust valve to 3 cylinder fitted intake valve
3171,3 4 cylinder were removed by off site maintenance,fitted new exhaust valve to 4 cylinder fitted intake valve
3172,2 4 intakes leaking,removed replaced intake gaskets
3173,cylinder 4 intake gasket leaking,removed replaced 4 intake gasket
3174,front crankshaft oil seal leaking,leak check ok
3175,front crankshaft oil seal leaking,removed prop ring gear removed front crankshaft oil
3176,2 3 cylinder intake gaskets leaking,removed replaced 2 3 cylinder intake gaskets
3177,2 intake gasket leaking,removed replaced 2 intake gasket
3178,2 intake gasket leaking,replaced gasket
3179,3 rocker cover gasket leaking,replaced gasket
3180,zero compression on 1 cylinder leaking from exhaust valve,replaced cylinder assembly w/ repaired cylinder new piston rin
3181,2 intake leaks,replaced gasket
3182,need 2 new baffle buttons,installed both buttons
3183,lower forward engine cowl seal wearing on engine intake,installed rtv in worn areas
3184,2 intake gasket leaking,removed replaced 2 intake gasket
3185,1 intake gasket leaking,replaced gasket
3186,1 cylinder outer baffling cracked by nutplate,stop drilled crack
3187,2 3 intake gaskets leaking,removed replaced intake gaskets
3188,bottom baffle on 1 cylinder chafing on cylinder fins,removed baffle fabricated installed new baffle
3189,4 cylinder bottom baffle cracked/chafing on cylinder fins,removed old baffle fabricated new baffle installed
3190,all rocker cover scrwes loose,tightened all screws
3191,3 4 cylinder intake gaskets leaking,removed replaced gaskets
3192,while fogging 2 cylinder tip from sprayer nozzle came into cont,installed intercylinder baffle hardware
3193,while fogging 2 cylinder tip from sprayer nozzle came into cont,removed necessary baffling lines tubes hardware to f
3194,while fogging 2 cylinder tip from sprayer nozzle came into cont,removed piston from rod prepared new pistion for insta
3195,while fogging 2 cylinder tip from sprayer nozzle came into cont,completed cylinder installation installed rocker cover inj
3196,while fogging 2 cylinder tip from sprayer nozzle came into cont,cylinder piston replacement done iaw lycoming direct drive
3197,1 baffle button worn,replaced button
3198,engine forward lower seal wearing into upper intake air filter frame,installed rtv to areas
3199,l/h engine breather line kinked,replaced tube
3200,r/h engine has oil leak at hoisting loop,leak check good
3201,r/h 2 3 4 intake gaskets leaking,leak check good
3202,r/h engine 1 side baffle seal loose,secured baffle seal
3203,2 4 intake gaskets leaking on l/h engine,leak check good
3204,1 3 4 rocker cover gasket leaking on l/h engine,leak check good
3205,r/h 2 3 4 intake gaskets leaking,removed replaced intake gaskets
3206,2 4 intake gaskets leaking on l/h engine,removed replaced intake gaskets
3207,r/h engine has oil leak at hoisting loop,removed cleaned sealed reinstalled bolt
3208,1 3 4 rocker cover gasket leaking on l/h engine,removed replaced rocker cover gaskets
3209,lower cowl seal loose,reattached lower cowl seal
3210,cowl bracket cracked l/h engine,installed patch made of like material
3211,cowl bracket cracked l/h engine,removed bracket started creating patch
3212,ding in compressor first stage blade,damage to compressor first stage blade acceptable i
3213,4 intake gasket leaking,removed replaced intake gasket
3214,3 rocker cover gasket leaking,removed cork gasket replaced w/ silicone gasket
3215,4 rocker cover gasket leaking,removed cork gasket replaced w/ silicone gasket
3216,2 3 rocker cover gaskets leaking,removed replaced gaskets
3217,2 3 intake gaskets leaking,removed replaced intake gaskets
3218,3 intake gasket leaking,removed replaced intake gasket
3219,3 intake leaking,removed replaced gasket
3220,l/h r/h baffle plugs missing tabs,replaced l/h r/h baffle plugs
3221,l/h engine 4 rocker cover leaking,removed replaced rocker cover gasket
3222,l/h engine 2 4 intakes leaking,removed replaced intake gaskets on l/h engine
3223,r/h engine intakes 2 3 4 leaking,removed replaced intake gaskets on r/h engine
3224,4 intake leaking,removed replaced 4 cylinder intake gasket
3225,r/h baffle tie rod broken,removed replaced r/h baffle tie rod
3226,4 rocker cover gasket leaking,removed replaced gasket
3227,1 4 intake gaskets leaking,removed replaced intake gaskets
3228,1 outer cylinder baffling cracked by nutplate,stop drilled crack on 1 cylinder outer baffling
3229,4 induction tube gasket leaking,removed replaced 4 intake gasket
3230,3 4 intakes leaking,replaced intake gaskets
3231,alum fittings for oil cooler ok,fittings ok
3232,oil cooler lower o/b bolt no threads showing,installed new bolt
3233,both baffle buttons worn,removed replaced both baffle buttons
3234,oil cooler lower line req rerouting,rerouted lower oil cooler line
3235,front forward baffle hung up on bolt of alternator extra bracket,rerouted baffle
3236,baffle bolt or screw missing forward l/h side in front of 2 cy,installed new screw
3237,baffle tie wire installed wrong on r/h of engine,removed replaced r/h baffle tie wire
3238,nut missing on top back bone of engine aft sling point,installed nut washers on engine aft sling point bolt
3239,foreign object damage on top l/h side of engine,removed foreign object damage from top l/h side of engine
3240,extra spark plug on top of 2 cylinder,removed extra spark plug from 2 cylinder
3241,engine baffle cracked above 1 cylinder,stop drilled crack
3242,cylinder 4 intake gasket leaking,removed replaced intake gasket
3243,baffle plug damaged requires replacement,removed replaced baffle plug
3244,4 cylinder rocker cover leaking,removed replaced gasket
3245,prop/engine overspeed,reviewed fdm data found overspeed to be w/in limits pe
3246,1 2 3 intake gaskets leaking,removed replaced intake gaskets
3247,3 4 rocker cover gaskets leaking,removed replaced rocker covers gaskets
3248,2 intake leaking,removed replaced intake gasket
3249,2 cylinder intake leaking,replaced intake gasket lock washers
3250,2 4 cylinder inner baffle connector rod broken,removed replaced rod
3251,4 cylinder intake gasket leaking,removed replaced cylinder 4 intake gasket
3252,1 cylinder intake leaking,removed replaced 1 cylinder intake gasket
3253,crack on forward baffle aft of alternator mount bolt,stop drilled crack
3254,1 2 rocker cover gaskets leaking,removed replaced rocker gaskets
3255,2 4 intake gaskets leaking,removed replaced 2 4 intake gaskets
3256,cowl seal on front r/h baffle loose,tightened baffle resealed w/ rtv
3257,1 cylinder baffling crack extending beyond stop drill,stop drilled crack installed doubler plate in referen
3258,crack noted on upper portion of forward r/h baffle in front of,stop drilled crack riveted doubler plate in reference
3259,3 rocker cover leaking,removed replaced rocker cover gasket
3260,1 3 4 2 rocker covers leaking all 4,removed replaced rocker cover gaskets
3261,tabs worn off of baffle plugs,replaced baffle plugs
3262,1 intake leaking,removed replaced intake gasket
3263,1 2 3 4 intake gaskets leaking,removed replaced intake gaskets
3264,1 4 rocker cover gaskets leaking,removed replaced rocker cover gaskets
3265,2 3 4 intakes leaking on l/h engine,removed replaced intake gaskets
3266,r/h forward baffle seal loose,reattached baffle seal to engine baffle
3267,r/h rear engine baffle attach bracket loose,removed r/h rear baffle reattached attach bracket re
3268,2 intake gasket leaking,replaced gasket
3269,3 4 side baffle seals worn,replaced baffle seals
